word,level
the,A1
be,A1
to,A1
of,A1
and,A1
a,A1
in,A1
that,A1
have,A1
I,A1
it,A1
for,A1
not,A1
on,A1
with,A1
he,A1
as,A1
you,A1
do,A1
at,A1
this,A1
but,A1
his,A1
by,A1
from,A1
they,A1
we,A1
say,A1
her,A1
she,A1
or,A1
an,A1
will,A1
my,A1
one,A1
all,A1
would,A1
there,A1
their,A1
what,A1
so,A1
up,A1
out,A1
if,A1
about,A1
who,A1
get,A1
which,A1
go,A1
me,A1
make,A1
can,A1
time,A1
year,A1
people,A1
take,A1
into,A1
just,A1
know,A1
good,A1
come,A1
could,A1
think,A1
see,A1
want,A1
look,A1
also,A1
find,A1
tell,A1
give,A1
use,A1
work,A1
call,A1
first,A1
well,A1
even,A1
new,A1
because,A1
any,A1
these,A1
give,A1
day,A1
most,A1
us,A1
important,A2
after,A2
back,A2
little,A2
only,A2
round,A2
man,A2
year,A2
come,A2
good,A2
take,A2
think,A2
help,A2
great,A2
where,A2
through,A2
much,A2
before,A2
right,A2
too,A2
same,A2
old,A2
picture,A2
young,A2
turn,A2
cause,A2
point,A2
form,B1
off,B1
child,B1
few,B1
small,B1
since,B1
against,B1
ask,B1
late,B1
home,B1
interest,B1
large,B1
person,B1
end,B1
open,B1
public,B1
follow,B1
during,B1
present,B1
without,B1
again,B1
hold,B1
govern,B1
around,B1
possible,B1
head,B1
consider,B1
word,B1
program,B1
problem,B1
however,B1
lead,B1
system,B1
set,B1
order,B1
eye,B1
plan,B1
run,B1
keep,B1
face,B1
fact,B1
group,B1
play,B1
stand,B1
increase,B1
early,B1
course,B1
change,B1
help,B1
line,B1
analysis,B2
result,B2
change,B2
offer,B2
support,B2
information,B2
experience,B2
evidence,B2
attention,B2
decision,B2
process,B2
position,B2
relationship,B2
environment,B2
method,B2
development,B2
approach,B2
benefit,B2
technology,C1
significant,C1
particular,C1
investment,C1
management,C1
opportunity,C1
economic,C1
political,C1
establishment,C1
infrastructure,C1
organization,C1
implementation,C1
fundamental,C1
effectiveness,C1
contribution,C1
sustainable,C2
comprehensive,C2
methodological,C2
interdisciplinary,C2
multidimensional,C2
sophisticated,C2
revolutionary,C2
paradigmatic,C2
theoretical,C2
conceptual,C2
